users.qq.com	[123.206.33.170]
portal.qq.com	[0.0.0.1]
s.qq.com	[58.250.136.68]
office.qq.com	[203.205.151.50]
cn.qq.com	[203.205.219.231]
rr.qq.com	[0.0.0.1]
cs.qq.com	[0.0.0.1]
blog.qq.com	[103.7.30.123]
astro.qq.com	[203.205.151.47]
fr.qq.com	[203.205.219.231]
ff.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
share.qq.com	[0.0.0.1]
seo.qq.com	[0.0.0.1]
bip.qq.com	[119.147.128.119]
en.qq.com	[203.205.219.231]
de.qq.com	[183.3.226.66]
new.qq.com	[203.205.151.47]
class.qq.com	[14.17.57.230]
hh.qq.com	[0.0.0.1]
user.qq.com	[0.0.0.1]
e.qq.com	[112.90.74.174]
i.qq.com	[203.205.151.50]
my.qq.com	[203.205.142.160]
passport.qq.com	[183.60.84.154]
ns1.qq.com	[123.151.178.115 157.255.246.101]
local.qq.com	[134.175.75.251]
bbs.qq.com	[103.7.30.123]
active.qq.com	[163.177.68.219]
ac.qq.com	[203.205.151.100]
ue.qq.com	[58.251.80.234]
sms.qq.com	[183.3.225.67]
news.qq.com	[203.205.151.47]
a.qq.com	[203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57]
sites.qq.com	[0.0.0.1]
mail.qq.com	[203.205.128.111 103.7.30.100]
web.qq.com	[203.205.219.231]
games.qq.com	[203.205.151.47]
h5.qq.com	[101.227.160.34]
kk.qq.com	[163.177.72.188]
is.qq.com	[58.247.214.35]
search.qq.com	[0.0.0.1]
app.qq.com	[203.205.147.218]
am.qq.com	[0.0.0.1]
static.qq.com	[0.0.0.1]
ab.qq.com	[203.205.128.168 203.205.128.169]
task.qq.com	[203.205.151.26]
music.qq.com	[203.205.158.56 203.205.158.35 203.205.158.53 203.205.158.54 203.205.158.34 203.205.138.71 203.205.158.55]
v.qq.com	[203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37]
store.qq.com	[203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57]
server.qq.com	[0.0.0.1]
info.qq.com	[0.0.0.1]
pay.qq.com	[203.205.151.58]
media.qq.com	[203.205.151.47]
tools.qq.com	[0.0.0.1]
help.qq.com	[14.17.41.220]
edu.qq.com	[203.205.151.47]
p.qq.com	[203.205.151.50]
fa.qq.com	[0.0.0.1]
tv.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
d3.qq.com	[0.0.0.1]
video.qq.com	[2.17.49.183]
member.qq.com	[203.205.142.160]
shop.qq.com	[203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79]
corp.qq.com	[0.0.0.1]
science.qq.com	[103.7.30.123]
club.qq.com	[203.205.142.160]
doc.qq.com	[203.205.128.167]
sk.qq.com	[123.151.148.69]
life.qq.com	[58.250.136.110]
u.qq.com	[103.7.30.123]
feeds.qq.com	[203.205.179.231 203.205.179.230]
design.qq.com	[0.0.0.1]
love.qq.com	[58.247.214.157]
biz.qq.com	[112.90.77.139]
data.qq.com	[183.61.49.204]
top.qq.com	[0.0.0.1]
vip.qq.com	[203.205.142.182]
ta.qq.com	[183.232.95.229]
id.qq.com	[203.205.151.50]
cdn.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
go.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
om.qq.com	[2.17.30.20]
ling.qq.com	[0.0.0.1]
personal.qq.com	[0.0.0.1]
auto.qq.com	[203.205.151.47]
net.qq.com	[0.0.0.1]
car.qq.com	[0.0.0.1]
software.qq.com	[0.0.0.1]
moto.qq.com	[61.151.217.46 101.226.86.182]
w8.qq.com	[101.226.86.182 61.151.217.46]
union.qq.com	[203.205.142.168]
faq.qq.com	[0.0.0.1]
ss.qq.com	[0.0.0.1]
dd.qq.com	[0.0.0.1]
es.qq.com	[203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79]
www.qq.com	[23.219.132.75]
pp.qq.com	[103.7.30.123]
m.qq.com	[203.205.179.231 203.205.179.230]
k.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
ar.qq.com	[203.205.151.14]
support.qq.com	[203.205.151.247]
demo.qq.com	[0.0.0.1]
ae.qq.com	[0.0.0.1]
d2.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
st.qq.com	[0.0.0.1]
content.qq.com	[0.0.0.1]
f5.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
hd.qq.com	[183.232.88.239]
cp.qq.com	[203.205.151.47]
h6.qq.com	[0.0.0.1]
uni.qq.com	[203.205.142.170]
open.qq.com	[103.7.30.72]
monitor.qq.com	[0.0.0.1]
gm.qq.com	[0.0.0.1]
lvyou.qq.com	[0.0.0.1]
files.qq.com	[101.226.86.182 61.151.217.46]
registry.qq.com	[0.0.0.1]
cge.qq.com	[61.151.224.117]
b.qq.com	[112.90.77.139]
it.qq.com	[203.205.151.47]
wap.qq.com	[61.151.217.46 101.226.86.182]
platform.qq.com	[100.116.48.39]
cms.qq.com	[2.17.30.20]
tuan.qq.com	[203.205.147.218]
n.qq.com	[0.0.0.1]
ban.qq.com	[0.0.0.1]
home.qq.com	[203.205.147.218]
sc.qq.com	[203.205.179.231 203.205.179.230]
d1.qq.com	[0.0.0.1]
domain.qq.com	[0.0.0.1]
nn.qq.com	[0.0.0.1]
guid.qq.com	[14.17.32.232]
up.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
d6.qq.com	[0.0.0.1]
hr.qq.com	[183.3.226.68]
gw.qq.com	[0.0.0.1]
health.qq.com	[203.205.151.47]
hello.qq.com	[58.251.82.189]
mp2.qq.com	[0.0.0.1]
start.qq.com	[203.205.128.167]
bl.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
h2.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
007.qq.com	[183.3.233.192]
pb.qq.com	[59.37.116.28]
vfs.qq.com	[183.3.234.145]
sd.qq.com	[103.7.30.123]
city.qq.com	[203.205.151.47]
tr.qq.com	[1.1.1.1]
intl.qq.com	[203.205.219.231]
api.qq.com	[203.205.219.231]
brain.qq.com	[0.0.0.1]
res.qq.com	[203.205.128.167]
king.qq.com	[203.205.142.182]
ok.qq.com	[101.227.130.100]
img.qq.com	[0.0.0.1]
pl.qq.com	[0.0.0.1]
ic.qq.com	[203.205.179.231 203.205.179.230]
ui.qq.com	[203.205.151.247]
d.qq.com	[115.159.101.226]
ford.qq.com	[0.0.0.1]
ifn.qq.com	[0.0.0.1]
translate.qq.com	[203.205.151.220]
d4.qq.com	[0.0.0.1]
cat.qq.com	[203.205.128.169 203.205.128.168]
wz.qq.com	[0.0.0.1]
wm.qq.com	[0.0.0.1]
vp.qq.com	[203.205.151.26]
rock.qq.com	[103.7.30.123]
tourism.qq.com	[119.29.47.241]
ads.qq.com	[14.17.32.217]
jobs.qq.com	[203.205.151.14]
mim.qq.com	[0.0.0.1]
all.qq.com	[103.7.30.123]
business.qq.com	[203.205.151.47]
qing.qq.com	[0.0.0.1]
ideas.qq.com	[183.232.88.196]
ccc.qq.com	[163.177.68.201]
ipod.qq.com	[0.0.0.1]
alpha.qq.com	[0.0.0.1]
angrybirds.qq.com	[0.0.0.1]
tu.qq.com	[203.205.151.26]
group.qq.com	[120.198.199.51]
linux.qq.com	[61.151.191.145]
telecom.qq.com	[101.226.86.182 61.151.217.46]
ap.qq.com	[14.17.41.220]
good.qq.com	[203.205.151.41]
bt.qq.com	[203.205.151.14]
1.qq.com	[101.89.15.139]
doctor.qq.com	[203.205.179.231 203.205.179.230]
qs.qq.com	[0.0.0.1]
free.qq.com	[0.0.0.1]
dns.qq.com	[119.29.29.229]
book.qq.com	[101.226.103.89]
llk.qq.com	[103.7.30.40]
chat.qq.com	[0.0.0.1]
rdm.qq.com	[203.205.179.230 203.205.179.231]
fly.qq.com	[203.205.151.41]
now.qq.com	[203.205.151.21]
safe.qq.com	[59.37.108.163]
area.qq.com	[0.0.0.1]
cnc.qq.com	[0.0.0.1]
sa.qq.com	[0.0.0.1]
best.qq.com	[183.232.94.102]
fj.qq.com	[203.205.151.47]
